sensor_value,timestamp_hour,rolling_mean_1h,z_score,is_anomaly,zone_id
259.58,13.33,95.43,1.784,True,1
46.48,13.42,87.27,-0.482,False,1
48.52,13.5,81.73,-0.422,False,1
48.95,13.58,77.63,-0.389,False,1
48.49,13.67,74.4,-0.372,False,1
57.73,13.75,72.73,-0.228,False,1
50.7,13.83,70.73,-0.318,False,1
51.83,13.92,69.15,-0.288,False,1
49.66,14.0,69.76,-0.335,False,1
45.62,14.08,68.75,-0.384,False,1
45.95,14.17,67.78,-0.36,False,1
50.06,14.25,66.96,-0.278,False,1
53.58,14.33,49.8,1.102,False,1
55.9,14.42,50.58,1.446,False,1
50.26,14.5,50.73,-0.128,False,1
194.02,14.58,62.82,3.164,True,1
60.28,14.67,63.8,-0.085,False,1
56.96,14.75,63.74,-0.164,False,1
50.1,14.83,63.68,-0.329,False,1
43.78,14.92,63.01,-0.463,False,1
55.21,15.0,63.48,-0.2,False,1
47.32,15.08,63.62,-0.394,False,1
51.47,15.17,64.08,-0.306,False,1
45.52,15.25,63.7,-0.44,False,1
353.23,15.33,88.67,2.846,True,1
309.14,15.42,109.77,1.785,True,1
51.08,15.5,109.84,-0.526,False,1
66.76,15.58,99.24,-0.298,False,1
57.71,15.67,99.02,-0.379,False,1
180.44,15.75,109.31,0.644,True,1
54.41,15.83,109.67,-0.501,False,1
52.55,15.92,110.4,-0.527,False,1
53.06,16.0,110.22,-0.52,False,1
0.9,16.08,106.36,-0.932,True,1
47.28,16.17,106.01,-0.518,False,1
49.32,16.25,106.32,-0.504,False,1
45.22,16.33,80.66,-0.427,False,1
54.79,16.42,59.46,-0.113,False,1
53.51,16.5,59.66,-0.149,False,1
48.91,16.58,58.18,-0.224,False,1
59.03,16.67,58.29,0.018,False,1
48.96,16.75,47.33,0.108,False,1
53.71,16.83,47.27,0.427,False,1
50.2,16.92,47.07,0.208,False,1
47.55,17.0,46.61,0.063,False,1
52.59,17.08,50.92,0.429,False,1
51.09,17.17,51.24,-0.041,False,1
46.85,17.25,51.03,-1.074,False,1
55.35,17.33,51.88,0.963,False,1
54.22,17.42,51.83,0.67,False,1
54.92,17.5,51.95,0.813,False,1
53.12,17.58,52.3,0.233,False,1
60.12,17.67,52.39,2.073,False,1
55.66,17.75,52.95,0.739,False,1
46.66,17.83,52.36,-1.398,False,1
54.16,17.92,52.69,0.363,False,1
57.61,18.0,53.53,1.039,False,1
56.59,18.08,53.86,0.68,False,1
53.2,18.17,54.04,-0.215,False,1
54.08,18.25,54.64,-0.175,False,1
50.9,18.33,54.27,-0.999,False,1
55.44,18.42,54.37,0.315,False,1
54.44,18.5,54.33,0.032,False,1
46.58,18.58,53.79,-1.776,False,1
54.88,18.67,53.35,0.429,False,1
53.81,18.75,53.2,0.176,False,1
58.98,18.83,54.22,1.488,False,1
56.16,18.92,54.39,0.546,False,1
51.07,19.0,53.84,-0.867,False,1
51.23,19.08,53.4,-0.687,False,1
54.43,19.17,53.5,0.292,False,1
48.76,19.25,53.06,-1.248,False,1
49.52,19.33,52.94,-0.964,False,1
59.27,19.42,53.26,1.526,False,1
52.62,19.5,53.11,-0.125,False,1
55.77,19.58,53.87,0.559,False,1
54.19,19.67,53.82,0.109,False,1
52.35,19.75,53.69,-0.393,False,1
50.22,19.83,52.97,-0.884,False,1
45.84,19.92,52.11,-1.772,False,1
50.5,20.0,52.06,-0.439,False,1
51.1,20.08,52.05,-0.266,False,1
4.13,20.17,47.86,-3.079,True,1
49.4,20.25,47.91,0.105,False,1
53.89,20.33,48.27,0.392,False,1
57.39,20.42,48.12,0.654,False,1
59.02,20.5,48.65,0.716,False,1
46.33,20.58,47.86,-0.107,False,1
54.61,20.67,47.9,0.468,False,1
49.79,20.75,47.69,0.147,False,1
52.81,20.83,47.9,0.342,False,1
56.43,20.92,48.78,0.526,False,1
54.24,21.0,49.09,0.352,False,1
55.17,21.08,49.43,0.39,False,1
46.37,21.17,52.95,-1.59,False,1
50.51,21.25,53.05,-0.624,False,1
53.21,21.33,52.99,0.055,False,1
56.05,21.42,52.88,0.803,False,1
55.04,21.5,52.55,0.707,False,1
55.81,21.58,53.34,0.815,False,1
54.76,21.67,53.35,0.464,False,1
54.7,21.75,53.76,0.332,False,1
53.19,21.83,53.79,-0.21,False,1
56.71,21.92,53.81,1.016,False,1
54.43,22.0,53.83,0.211,False,1
4.63,22.08,49.62,-3.114,True,1
64.99,22.17,51.17,0.918,False,1
55.38,22.25,51.58,0.252,False,1
62.1,22.33,52.32,0.635,False,1
56.61,22.42,52.36,0.275,False,1
60.4,22.5,52.81,0.487,False,1
58.46,22.58,53.03,0.347,False,1
68.91,22.67,54.21,0.902,False,1
56.25,22.75,54.34,0.117,False,1
56.47,22.83,54.61,0.114,False,1
63.81,22.92,55.2,0.521,False,1
58.61,23.0,55.55,0.185,False,1
54.14,23.08,59.68,-1.238,False,1
57.72,23.17,59.07,-0.324,False,1
63.96,23.25,59.79,0.99,False,1
62.02,23.33,59.78,0.531,False,1
62.85,23.42,60.3,0.611,False,1
63.78,23.5,60.58,0.746,False,1
60.04,23.58,60.71,-0.159,False,1
55.62,23.67,59.61,-1.108,False,1
64.8,23.75,60.32,1.206,False,1
65.93,23.83,61.11,1.261,False,1
70.07,23.92,61.63,1.843,False,1
67.51,0.0,62.37,1.078,False,1
61.11,0.08,62.95,-0.455,False,1
62.13,0.17,63.32,-0.32,False,1
55.93,0.25,62.65,-1.577,False,1
63.47,0.33,62.77,0.164,False,1
67.64,0.42,63.17,0.996,False,1
57.75,0.5,62.67,-1.037,False,1
68.27,0.58,63.35,0.999,False,1
56.88,0.67,63.46,-1.383,False,1
65.79,0.75,63.54,0.47,False,1
71.2,0.83,63.98,1.376,False,1
67.46,0.92,63.76,0.737,False,1
61.35,1.0,63.25,-0.387,False,1
59.72,1.08,63.13,-0.684,False,1
6.23,1.17,58.47,-3.039,True,1
61.78,1.25,58.96,0.164,False,1
73.71,1.33,59.81,0.785,False,1
63.7,1.42,59.49,0.24,False,1
59.41,1.5,59.62,-0.012,False,1
61.97,1.58,59.1,0.165,False,1
66.16,1.67,59.87,0.36,False,1
64.85,1.75,59.79,0.29,False,1
63.07,1.83,59.12,0.231,False,1
62.24,1.92,58.68,0.21,False,1
62.68,2.0,58.79,0.229,False,1
58.04,2.08,58.65,-0.036,False,1
74.52,2.17,64.34,2.015,False,1
68.07,2.25,64.87,0.63,False,1
69.29,2.33,64.5,1.062,False,1
69.87,2.42,65.01,1.02,False,1
60.85,2.5,65.13,-0.927,False,1
62.81,2.58,65.2,-0.524,False,1
60.41,2.67,64.72,-0.905,False,1
64.63,2.75,64.71,-0.017,False,1
61.63,2.83,64.59,-0.613,False,1
65.89,2.92,64.89,0.21,False,1
65.57,3.0,65.13,0.092,False,1
63.99,3.08,65.63,-0.39,False,1
66.83,3.17,64.99,0.579,False,1
60.01,3.25,64.31,-1.294,False,1
60.19,3.33,63.56,-1.08,False,1
64.0,3.42,63.07,0.385,False,1
64.68,3.5,63.39,0.55,False,1
64.57,3.58,63.53,0.439,False,1
69.8,3.67,64.32,1.987,False,1
70.0,3.75,64.76,1.628,False,1
62.24,3.83,64.81,-0.814,False,1
70.51,3.92,65.2,1.491,False,1
284.07,4.0,83.41,3.17,True,1
61.44,4.08,83.2,-0.343,False,1
68.59,4.17,83.34,-0.233,False,1
61.89,4.25,83.5,-0.342,False,1
5.99,4.33,78.98,-1.091,True,1
54.72,4.42,78.21,-0.35,False,1
55.72,4.5,77.46,-0.323,False,1
55.32,4.58,76.69,-0.316,False,1
69.08,4.67,76.63,-0.112,False,1
56.8,4.75,75.53,-0.276,False,1
63.39,4.83,75.63,-0.181,False,1
64.05,4.92,75.09,-0.163,False,1
69.75,5.0,57.23,0.735,False,1
60.59,5.08,57.16,0.202,False,1
55.6,5.17,56.07,-0.028,False,1
55.44,5.25,55.54,-0.006,False,1
61.22,5.33,60.14,0.198,False,1
56.98,5.42,60.33,-0.635,False,1
62.7,5.5,60.91,0.35,False,1
66.38,5.58,61.83,0.91,False,1
70.53,5.67,61.95,1.65,False,1
62.52,5.75,62.43,0.018,False,1
62.35,5.83,62.34,0.002,False,1
60.02,5.92,62.01,-0.401,False,1
63.0,6.0,61.44,0.36,False,1
56.45,6.08,61.1,-1.02,False,1
55.83,6.17,61.12,-1.165,False,1
59.76,6.25,61.48,-0.409,False,1
55.86,6.33,61.03,-1.147,False,1
65.43,6.42,61.74,0.826,False,1
66.73,6.5,62.07,0.991,False,1
58.3,6.58,61.4,-0.673,False,1
61.21,6.67,60.62,0.163,False,1
60.18,6.75,60.43,-0.07,False,1
56.92,6.83,59.98,-0.841,False,1
52.3,6.92,59.33,-1.654,False,1
57.8,7.0,58.9,-0.267,False,1
62.53,7.08,59.41,0.752,False,1
57.72,7.17,59.56,-0.455,False,1
63.49,7.25,59.87,0.861,False,1
50.75,13.0,50.75,0.0,False,2
52.46,13.08,51.61,0.707,False,2
49.35,13.17,50.85,-0.965,False,2
51.91,13.25,51.12,0.571,False,2
55.11,13.33,51.92,1.487,False,2
50.38,13.42,51.66,-0.635,False,2
49.02,13.5,51.28,-1.079,False,2
52.36,13.58,51.42,0.476,False,2
55.99,13.67,51.92,1.694,False,2
48.73,13.75,51.61,-1.159,False,2
47.72,13.83,51.25,-1.344,False,2
48.25,13.92,51.0,-1.039,False,2
51.11,14.0,51.03,0.03,False,2
61.56,14.08,51.79,2.421,False,2
53.07,14.17,52.1,0.244,False,2
48.86,14.25,51.85,-0.732,False,2
57.08,14.33,52.01,1.191,False,2
47.38,14.42,51.76,-0.986,False,2
52.05,14.5,52.01,0.009,False,2
54.25,14.58,52.17,0.471,False,2
50.88,14.67,51.75,-0.203,False,2
45.73,14.75,51.5,-1.274,False,2
42.98,14.83,51.1,-1.604,False,2
346.06,14.92,75.92,3.17,True,2
50.73,15.0,75.89,-0.295,False,2
46.82,15.08,74.66,-0.325,False,2
47.1,15.17,74.16,-0.316,False,2
51.29,15.25,74.36,-0.269,False,2
48.52,15.33,73.65,-0.293,False,2
52.27,15.42,74.06,-0.254,False,2
44.52,15.5,73.43,-0.336,False,2
55.35,15.58,73.52,-0.212,False,2
41.87,15.67,72.77,-0.359,False,2
52.79,15.75,73.36,-0.239,False,2
50.96,15.83,74.02,-0.269,False,2
43.41,15.92,48.8,-1.306,False,2
46.7,16.0,48.47,-0.428,False,2
51.16,16.08,48.83,0.56,False,2
49.26,16.17,49.01,0.062,False,2
49.82,16.25,48.89,0.228,False,2
46.28,16.33,48.7,-0.584,False,2
54.31,16.42,48.87,1.254,False,2
45.97,16.5,48.99,-0.715,False,2
41.71,16.58,47.85,-1.466,False,2
48.8,16.67,48.43,0.098,False,2
52.46,16.75,48.4,1.094,False,2
59.76,16.83,49.14,2.154,False,2
49.8,16.92,49.67,0.029,False,2
52.21,17.0,50.13,0.458,False,2
43.21,17.08,49.47,-1.266,False,2
50.26,17.17,49.55,0.144,False,2
50.08,17.25,49.57,0.102,False,2
54.56,17.33,50.26,0.857,False,2
45.31,17.42,49.51,-0.834,False,2
50.36,17.5,49.88,0.098,False,2
56.94,17.58,51.15,1.269,False,2
50.92,17.67,51.32,-0.09,False,2
50.32,17.75,51.15,-0.184,False,2
60.55,17.83,51.21,2.013,False,2
42.02,17.92,50.56,-1.598,False,2
53.87,18.0,50.7,0.586,False,2
50.39,18.08,51.3,-0.186,False,2
55.68,18.17,51.75,0.782,False,2
48.46,18.25,51.62,-0.62,False,2
46.17,18.33,50.92,-0.907,False,2
52.59,18.42,51.52,0.216,False,2
45.06,18.5,51.08,-1.142,False,2
47.69,18.58,50.31,-0.524,False,2
48.27,18.67,50.09,-0.362,False,2
52.71,18.75,50.29,0.476,False,2
52.94,18.83,49.65,0.807,False,2
52.25,18.92,50.51,0.524,False,2
48.75,19.0,50.08,-0.418,False,2
43.98,19.08,49.55,-1.532,False,2
50.1,19.17,49.08,0.329,False,2
50.66,19.25,49.26,0.448,False,2
47.54,19.33,49.38,-0.61,False,2
50.4,19.42,49.19,0.42,False,2
47.98,19.5,49.44,-0.561,False,2
54.76,19.58,50.03,1.608,False,2
54.57,19.67,50.55,1.273,False,2
48.32,19.75,50.19,-0.594,False,2
50.04,19.83,49.95,0.033,False,2
57.0,19.92,50.34,1.849,False,2
53.25,20.0,50.72,0.693,False,2
56.83,20.08,51.79,1.497,False,2
49.4,20.17,51.73,-0.682,False,2
46.63,20.25,51.39,-1.284,False,2
54.9,20.33,52.01,0.8,False,2
51.53,20.42,52.1,-0.159,False,2
48.67,20.5,52.16,-0.992,False,2
51.87,20.58,51.92,-0.015,False,2
45.97,20.67,51.2,-1.41,False,2
56.88,20.75,51.91,1.265,False,2
54.6,20.83,52.29,0.585,False,2
54.02,20.92,52.05,0.533,False,2
43.44,21.0,51.23,-1.759,False,2
52.92,21.08,50.9,0.49,False,2
54.87,21.17,51.36,0.829,False,2
49.72,21.25,51.62,-0.472,False,2
63.85,21.33,52.36,2.168,False,2
47.03,21.42,51.99,-0.899,False,2
57.8,21.5,52.75,0.894,False,2
49.47,21.58,52.55,-0.538,False,2
62.32,21.67,53.91,1.412,False,2
57.42,21.75,53.95,0.58,False,2
203.49,21.83,66.36,3.145,True,2
49.26,21.92,65.96,-0.382,False,2
55.38,22.0,66.96,-0.267,False,2
51.24,22.08,66.82,-0.359,False,2
45.84,22.17,66.07,-0.463,False,2
57.08,22.25,66.68,-0.221,False,2
47.18,22.33,65.29,-0.413,False,2
53.14,22.42,65.8,-0.29,False,2
55.89,22.5,65.64,-0.223,False,2
52.5,22.58,65.9,-0.307,False,2
57.6,22.67,65.5,-0.181,False,2
52.44,22.75,65.09,-0.289,False,2
64.59,22.83,53.51,2.173,False,2
58.39,22.92,54.27,0.809,False,2
59.69,23.0,54.63,0.952,False,2
57.02,23.08,55.11,0.363,False,2
54.34,23.17,55.82,-0.339,False,2
47.39,23.25,55.01,-1.53,False,2
54.57,23.33,55.63,-0.244,False,2
58.03,23.42,56.04,0.462,False,2
60.5,23.5,56.42,0.907,False,2
56.95,23.58,56.79,0.037,False,2
63.08,23.67,57.25,1.242,False,2
63.27,23.75,58.15,1.082,False,2
56.98,23.83,57.52,-0.125,False,2
66.48,23.92,58.19,1.657,False,2
60.58,0.0,58.27,0.459,False,2
2.43,0.08,53.72,-3.032,True,2
61.74,0.17,54.33,0.434,False,2
54.23,0.25,54.9,-0.04,False,2
63.42,0.33,55.64,0.455,False,2
56.3,0.42,55.5,0.047,False,2
63.29,0.5,55.73,0.44,False,2
61.24,0.58,56.09,0.298,False,2
60.8,0.67,55.9,0.286,False,2
63.12,0.75,55.88,0.421,False,2
61.01,0.83,56.22,0.278,False,2
60.69,0.92,55.74,0.291,False,2
56.74,1.0,55.42,0.078,False,2
56.14,1.08,59.89,-1.18,False,2
64.56,1.17,60.13,1.293,False,2
60.82,1.25,60.68,0.05,False,2
61.11,1.33,60.48,0.226,False,2
56.2,1.42,60.48,-1.546,False,2
477.03,1.5,94.95,3.175,True,2
63.21,1.58,95.12,-0.265,False,2
67.74,1.67,95.7,-0.233,False,2
4.89,1.75,90.84,-0.7,True,2
63.66,1.83,91.06,-0.223,False,2
69.09,1.92,91.77,-0.185,False,2
68.73,2.0,92.76,-0.197,False,2
59.04,2.08,93.01,-0.278,False,2
66.61,2.17,93.18,-0.218,False,2
63.48,2.25,93.4,-0.245,False,2
60.07,2.33,93.31,-0.272,False,2
65.65,2.42,94.1,-0.234,False,2
70.99,2.5,60.26,0.602,False,2
59.16,2.58,59.93,-0.043,False,2
54.68,2.67,58.84,-0.235,False,2
58.43,2.75,63.3,-0.961,False,2
62.86,2.83,63.23,-0.073,False,2
68.94,2.92,63.22,1.131,False,2
54.09,3.0,62.0,-1.476,False,2
59.21,3.08,62.01,-0.524,False,2
68.23,3.17,62.15,1.107,False,2
59.25,3.25,61.8,-0.46,False,2
64.07,3.33,62.13,0.351,False,2
51.92,3.42,60.99,-1.476,False,2
59.5,3.5,60.03,-0.1,False,2
54.72,3.58,59.66,-0.9,False,2
61.37,3.67,60.22,0.219,False,2
55.78,3.75,59.99,-0.779,False,2
62.22,3.83,59.94,0.424,False,2
65.66,3.92,59.67,1.211,False,2
70.86,4.0,61.07,1.761,False,2
60.96,4.08,61.21,-0.046,False,2
249.42,4.17,76.31,3.162,True,2
62.1,4.25,76.55,-0.264,False,2
60.63,4.33,76.26,-0.285,False,2
61.83,4.42,77.09,-0.28,False,2
68.77,4.5,77.86,-0.168,False,2
1.17,4.58,73.4,-1.238,True,2
58.49,4.67,73.16,-0.251,False,2
54.57,4.75,73.06,-0.316,False,2
57.88,4.83,72.7,-0.253,False,2
62.03,4.92,72.39,-0.177,False,2
57.68,5.0,71.29,-0.232,False,2
54.91,5.08,70.79,-0.27,False,2
59.86,5.17,54.99,0.28,False,2
58.41,5.25,54.69,0.216,False,2
60.7,5.33,54.69,0.348,False,2
53.04,5.42,53.96,-0.054,False,2
57.91,5.5,53.05,0.294,False,2
55.99,5.58,57.62,-0.624,False,2
59.18,5.67,57.68,0.567,False,2
57.39,5.75,57.91,-0.211,False,2
68.91,5.83,58.83,2.505,False,2
55.2,5.92,58.27,-0.764,False,2
66.31,6.0,58.98,1.583,False,2
58.79,6.08,59.31,-0.116,False,2
62.6,6.17,59.54,0.673,False,2
51.72,6.25,58.98,-1.43,False,2
57.57,6.33,58.72,-0.227,False,2
56.87,6.42,59.04,-0.454,False,2
1.57,6.5,54.34,-3.052,True,2
51.92,6.58,54.0,-0.12,False,2
61.42,6.67,54.19,0.417,False,2
421.39,6.75,84.52,3.134,True,2
63.01,6.83,84.03,-0.195,False,2
51.69,6.92,83.74,-0.298,False,2
54.88,7.0,82.79,-0.259,False,2
57.74,7.08,82.7,-0.231,False,2
65.98,7.17,82.98,-0.158,False,2
60.89,7.25,83.75,-0.212,False,2
39.06,16.0,39.06,0.0,False,3
47.44,16.08,43.25,0.707,False,3
46.17,16.17,44.22,0.43,False,3
51.62,16.25,46.07,1.062,False,3
48.21,16.33,46.5,0.369,False,3
41.69,16.42,45.7,-0.876,False,3
49.32,16.5,46.21,0.705,False,3
48.14,16.58,46.46,0.408,False,3
48.5,16.67,46.68,0.464,False,3
51.31,16.75,47.15,1.046,False,3
40.91,16.83,46.58,-1.346,False,3
43.48,16.92,46.32,-0.689,False,3
46.75,17.0,46.96,-0.061,False,3
46.25,17.08,46.86,-0.177,False,3
48.8,17.17,47.08,0.497,False,3
40.97,17.25,46.19,-1.469,False,3
45.85,17.33,46.0,-0.041,False,3
45.53,17.42,46.32,-0.244,False,3
