activity_intensity,mask_type,pm25,pm10,co,no2,rmv_liters_per_min,duration_minutes,mask_efficiency,hour,temperature,humidity,wind_speed,inversion_factor,cumulative_toxic_load_score,pm25_retained_micrograms,co_blood_saturation_estimate
light_jog,n95,165.88,224.85,3.72,19.87,26.38,63.5,0.95,3.56,21.16,85.07,1.88,0.903,7.1,13.9,0.03
moderate_run,n95,38.03,76.15,1.51,84.69,44.79,69.5,0.95,6.49,24.76,72.81,3.17,0.725,11.48,5.92,0.0
moderate_run,cloth,31.18,37.03,2.94,78.74,39.89,33.0,0.3,16.18,30.12,57.07,5.6,0.134,49.81,28.72,0.19
high_intensity_run,n95,76.22,129.3,3.19,55.11,55.72,30.4,0.95,11.68,31.11,52.62,5.4,0.237,9.9,6.46,0.0
light_jog,cloth,67.66,123.64,3.93,37.93,26.86,80.3,0.3,21.01,24.66,76.2,3.9,0.505,75.22,102.18,0.56
moderate_run,cloth,219.62,302.5,1.52,70.92,38.43,70.4,0.3,3.31,18.37,81.1,2.11,0.893,91.92,415.71,0.36
moderate_run,n95,95.91,129.63,6.37,26.55,35.73,19.9,0.95,19.14,26.2,66.53,3.15,0.402,2.09,3.4,0.05
light_jog,n95,41.94,63.01,2.89,103.03,25.99,46.9,0.95,2.5,21.12,90.34,1.74,0.911,8.12,2.55,0.0
light_jog,none,132.88,260.33,1.76,128.74,24.59,51.0,0.0,0.38,19.98,87.82,2.25,0.82,89.34,166.54,0.11
moderate_run,medical,13.72,24.42,3.12,29.42,36.14,35.6,0.6,18.44,31.51,66.43,4.89,0.27,21.57,7.05,0.08
light_jog,cloth,67.83,140.71,4.66,59.71,26.0,113.0,0.3,17.77,30.47,62.65,4.6,0.245,93.05,139.52,0.89
moderate_run,none,34.72,58.67,5.18,81.55,44.58,46.7,0.0,20.58,25.64,73.92,2.91,0.521,85.86,72.3,1.03
moderate_run,n95,88.26,126.29,9.81,45.7,34.78,47.8,0.95,0.89,22.06,90.63,2.13,0.849,14.23,7.34,0.15
high_intensity_run,cloth,171.76,257.35,2.24,11.49,59.5,30.7,0.3,21.32,24.89,74.61,3.15,0.568,79.52,219.67,0.34
moderate_run,medical,21.6,28.51,1.23,54.8,31.88,71.0,0.6,6.3,23.64,79.84,2.75,0.757,38.25,19.56,0.02
light_jog,medical,103.32,161.06,3.06,7.85,24.2,68.0,0.6,23.98,19.12,85.63,2.74,0.774,43.82,68.04,0.13
high_intensity_run,medical,106.7,145.69,0.57,143.8,63.1,54.2,0.6,4.43,21.97,91.88,0.88,0.935,80.49,145.84,0.14
high_intensity_run,none,65.77,103.05,1.68,55.35,53.56,150.0,0.0,18.46,30.03,64.04,4.43,0.294,96.79,528.31,1.32
moderate_run,n95,34.94,56.69,3.2,45.7,40.29,18.8,0.95,0.73,19.61,81.88,1.25,0.886,5.93,1.32,0.01
light_jog,medical,60.97,114.76,2.92,96.23,26.53,91.3,0.6,3.95,18.57,86.72,1.19,0.931,67.78,59.07,0.39
moderate_run,medical,23.08,52.65,4.06,17.74,34.51,24.3,0.6,16.31,29.65,51.39,4.45,0.195,14.36,7.73,0.22
light_jog,cloth,80.68,145.71,3.96,104.64,25.14,33.7,0.3,4.57,23.42,86.99,2.15,0.868,51.84,47.87,0.27
light_jog,none,28.68,41.3,5.53,60.64,25.13,72.5,0.0,0.17,20.77,88.97,0.83,0.88,72.37,52.23,0.95
resting,none,49.51,79.04,5.03,62.79,8.04,13.7,0.0,1.07,21.93,85.03,0.61,0.932,6.91,5.47,0.0
high_intensity_run,cloth,95.08,126.3,1.48,42.45,49.56,56.0,0.3,2.5,20.07,83.7,0.81,0.957,80.41,184.76,0.19
moderate_run,none,27.72,56.24,4.49,30.96,38.78,25.3,0.0,11.44,30.11,56.41,5.32,0.255,46.88,27.22,0.4
moderate_run,medical,48.16,82.33,2.71,71.4,37.03,33.7,0.6,23.72,23.6,81.28,1.36,0.828,28.6,24.06,0.25
high_intensity_run,n95,35.71,65.63,4.62,29.6,50.45,22.8,0.95,0.37,20.09,83.03,1.8,0.842,0.3,2.06,0.13
moderate_run,cloth,50.17,68.77,4.07,17.29,43.61,17.4,0.3,18.44,28.08,60.83,5.19,0.254,34.52,26.57,0.14
moderate_run,cloth,53.12,105.85,2.16,91.18,40.09,48.9,0.3,22.47,22.94,83.33,1.84,0.72,75.07,72.83,0.35
light_jog,medical,42.07,53.47,2.58,73.43,23.89,45.6,0.6,2.25,19.66,82.03,0.65,0.962,28.33,18.32,0.03
light_jog,none,28.59,47.79,2.94,19.85,23.96,65.1,0.0,17.49,30.6,55.98,4.95,0.214,53.56,44.59,0.21
moderate_run,n95,49.81,87.78,2.19,40.51,38.2,27.5,0.95,10.85,30.61,67.37,4.66,0.327,3.46,2.61,0.16
moderate_run,cloth,20.81,43.54,9.12,34.28,38.48,39.4,0.3,16.19,31.63,62.69,5.58,0.135,63.56,22.09,0.71
moderate_run,none,45.8,71.97,3.19,25.49,35.95,55.1,0.0,19.11,26.65,70.68,3.51,0.382,71.51,90.7,0.35
high_intensity_run,none,42.82,81.38,1.28,40.33,53.86,90.2,0.0,11.02,28.27,57.39,6.55,0.221,89.71,208.03,0.59
moderate_run,n95,45.23,71.3,12.24,34.16,38.85,62.4,0.95,17.35,28.83,61.51,5.17,0.197,14.14,5.48,0.11
moderate_run,none,41.31,74.92,4.74,80.19,37.58,69.2,0.0,22.1,21.97,77.86,1.87,0.692,87.03,107.45,1.16
moderate_run,medical,58.29,102.06,2.74,44.05,40.5,32.0,0.6,17.31,30.24,47.52,5.54,0.176,32.76,30.23,0.28
light_jog,none,115.94,155.66,12.07,38.37,25.48,49.4,0.0,4.11,19.91,83.05,0.63,0.956,89.72,146.01,1.47
resting,none,96.06,159.43,5.18,37.78,6.69,82.8,0.0,3.6,18.76,84.56,0.79,0.957,46.16,53.23,0.31
moderate_run,n95,46.72,80.15,2.69,45.13,39.54,38.2,0.95,11.93,29.77,54.68,5.9,0.197,5.79,3.53,0.0
light_jog,none,17.94,28.84,0.95,12.08,29.32,49.6,0.0,17.79,29.75,62.09,4.95,0.229,28.85,26.08,0.09
moderate_run,none,131.52,240.55,0.65,20.35,46.79,12.3,0.0,20.01,26.81,76.64,4.12,0.417,45.88,75.57,0.08
high_intensity_run,cloth,45.43,74.31,7.03,32.91,50.36,58.2,0.3,17.34,29.24,58.58,3.47,0.281,86.51,93.23,1.29
light_jog,n95,76.8,136.63,5.05,47.93,23.17,45.0,0.95,1.82,19.53,83.97,1.49,0.911,3.39,4.0,0.09
resting,cloth,40.54,85.05,3.47,91.45,6.41,56.0,0.3,23.89,21.63,84.53,1.05,0.853,17.61,10.18,0.1
light_jog,none,54.14,103.31,3.6,21.51,27.11,32.5,0.0,23.53,21.41,86.93,0.8,0.844,44.1,47.71,0.28
light_jog,n95,134.27,235.8,5.24,41.12,24.2,10.1,0.95,3.22,21.73,86.64,0.2,0.989,0.0,1.65,0.1
moderate_run,medical,104.53,166.02,6.53,52.89,40.77,59.8,0.6,2.71,19.91,84.47,0.71,0.964,75.76,101.95,0.56
moderate_run,n95,44.92,81.01,2.07,36.74,46.39,24.7,0.95,21.91,22.13,80.71,3.26,0.608,5.27,2.58,0.0
high_intensity_run,n95,153.57,238.49,4.54,32.03,54.95,13.3,0.95,0.32,21.87,81.72,1.82,0.838,3.95,5.62,0.11
moderate_run,medical,21.04,41.24,3.9,22.33,42.26,43.2,0.6,12.67,31.26,49.57,6.83,0.113,31.2,15.35,0.26
moderate_run,cloth,22.89,44.65,2.85,59.52,41.67,96.8,0.3,0.49,19.52,88.27,1.12,0.881,79.67,64.65,0.72
high_intensity_run,cloth,12.15,16.16,0.57,27.84,52.41,22.3,0.3,13.65,33.05,48.93,6.05,0.116,14.37,9.95,0.03
light_jog,medical,84.85,139.71,2.03,34.65,27.12,25.4,0.6,20.6,26.8,71.41,2.16,0.561,21.92,23.38,0.01
resting,medical,33.37,62.26,1.35,20.68,6.52,61.6,0.6,20.02,26.18,70.17,2.54,0.497,5.41,5.36,0.23
resting,n95,42.25,63.21,7.13,151.26,7.75,34.4,0.95,19.01,26.33,65.22,4.05,0.348,1.06,0.56,0.0
moderate_run,medical,110.18,155.11,1.9,51.16,38.12,59.7,0.6,21.97,24.89,74.99,1.44,0.703,62.56,100.28,0.19
moderate_run,none,48.94,63.41,1.39,87.45,38.47,33.3,0.0,13.12,32.29,53.79,5.42,0.165,63.91,62.66,0.18
light_jog,cloth,27.04,44.57,2.3,38.28,22.82,30.0,0.3,21.75,23.61,74.3,2.42,0.638,21.1,12.96,0.17
moderate_run,medical,163.49,252.78,7.15,54.16,37.04,23.1,0.6,4.79,21.05,90.01,2.4,0.848,48.65,55.86,0.2
light_jog,cloth,43.03,66.72,6.3,57.49,24.15,47.4,0.3,20.63,26.38,71.33,3.1,0.516,53.0,34.47,0.56
moderate_run,n95,40.08,59.79,1.63,32.59,32.22,23.0,0.95,16.88,29.05,59.31,4.51,0.21,0.0,1.48,0.0
moderate_run,medical,31.65,57.51,2.37,43.36,39.25,28.9,0.6,19.32,25.61,69.76,2.85,0.43,19.84,14.34,0.06
moderate_run,none,22.22,28.68,2.62,41.95,38.37,73.4,0.0,11.19,32.72,55.25,5.42,0.266,78.8,62.56,0.68
light_jog,medical,53.15,66.18,8.28,33.91,26.58,120.4,0.6,18.97,26.57,61.33,3.79,0.358,72.43,68.01,1.0
moderate_run,medical,20.42,36.33,0.77,37.93,41.35,51.0,0.6,19.85,27.38,72.24,3.66,0.428,26.21,17.21,0.15
moderate_run,n95,47.91,85.81,1.24,77.58,37.74,75.0,0.95,9.1,29.36,59.19,4.09,0.488,14.81,6.78,0.0
resting,cloth,147.99,228.55,20.0,26.2,6.74,31.1,0.3,7.06,24.79,69.31,2.85,0.704,28.64,21.73,0.34
light_jog,medical,72.14,119.06,7.09,109.26,24.53,33.8,0.6,19.41,25.87,69.65,4.61,0.348,38.66,23.91,0.29
high_intensity_run,cloth,56.63,100.49,1.18,58.99,61.54,44.4,0.3,8.82,28.04,65.35,4.67,0.481,75.27,108.28,0.26
high_intensity_run,cloth,25.57,44.51,20.0,34.52,51.38,25.0,0.3,20.2,27.36,68.1,3.59,0.458,79.59,22.97,1.64
moderate_run,none,40.46,50.39,4.51,60.98,37.7,29.7,0.0,12.15,31.72,52.07,5.18,0.221,62.75,45.35,0.42
light_jog,n95,24.11,38.22,2.94,54.73,22.74,58.5,0.95,14.22,31.09,48.85,5.67,0.123,4.91,1.6,0.06
high_intensity_run,n95,106.15,198.15,8.55,45.69,48.48,40.0,0.95,18.87,28.11,73.49,4.68,0.307,14.39,10.28,0.09
high_intensity_run,cloth,30.89,40.26,1.54,32.64,56.35,36.0,0.3,17.76,27.66,64.12,5.66,0.192,50.4,43.88,0.08
moderate_run,medical,40.95,71.6,2.99,20.2,40.65,34.9,0.6,1.75,18.84,84.66,0.24,0.972,24.27,23.26,0.23
moderate_run,none,55.0,88.0,4.26,33.87,44.1,19.6,0.0,1.45,19.75,86.56,1.94,0.878,47.27,47.46,0.28
light_jog,medical,36.54,59.59,5.41,50.31,27.08,43.4,0.6,22.54,22.37,83.49,1.49,0.743,32.7,17.18,0.18
resting,cloth,68.35,110.54,4.88,65.6,8.34,25.0,0.3,23.33,19.96,79.88,1.99,0.773,15.9,9.98,0.15
high_intensity_run,medical,107.91,196.6,2.96,32.59,54.67,12.2,0.6,13.57,32.26,49.88,7.66,0.038,25.13,28.76,0.09
moderate_run,none,60.29,79.24,2.95,63.62,39.17,17.7,0.0,22.82,22.58,80.94,0.86,0.795,42.82,41.78,0.17
light_jog,medical,36.75,71.82,5.26,45.4,22.4,35.3,0.6,1.74,19.76,84.43,1.31,0.918,26.45,11.64,0.12
light_jog,none,36.39,49.82,3.35,50.24,26.39,55.8,0.0,12.9,29.16,57.13,5.71,0.159,65.34,53.56,0.43
moderate_run,medical,27.87,43.23,3.85,181.31,40.38,64.4,0.6,6.01,23.14,76.1,2.52,0.785,71.26,28.97,0.36
light_jog,medical,300.0,385.19,3.43,58.54,26.3,14.8,0.6,1.15,22.33,87.09,0.69,0.931,33.84,46.8,0.18
high_intensity_run,none,179.48,344.64,2.74,46.71,49.99,52.6,0.0,22.84,22.49,82.64,0.32,0.823,97.67,471.7,0.51
high_intensity_run,cloth,137.84,270.75,1.5,53.48,56.55,100.2,0.3,1.87,20.02,94.33,0.55,0.96,98.78,546.43,0.75
moderate_run,n95,99.82,159.87,11.08,85.44,40.66,66.2,0.95,1.29,19.66,87.34,1.25,0.908,17.85,13.44,0.32
moderate_run,medical,57.34,71.57,6.89,51.08,40.44,42.4,0.6,2.0,20.69,96.55,1.81,0.899,52.1,39.34,0.4
moderate_run,none,41.6,86.87,6.22,61.9,37.81,44.5,0.0,18.98,27.84,63.79,4.4,0.328,86.93,70.01,0.97
moderate_run,cloth,44.42,59.52,1.5,73.81,43.81,41.7,0.3,20.87,25.5,73.16,3.82,0.498,63.7,56.77,0.19
moderate_run,cloth,208.86,295.59,2.36,123.16,46.56,28.4,0.3,20.18,24.4,74.59,3.09,0.482,83.14,193.19,0.29
resting,medical,54.28,89.69,3.75,66.56,6.38,68.1,0.6,5.93,23.05,86.97,1.86,0.823,13.36,9.43,0.07
moderate_run,medical,42.87,60.43,5.0,53.22,42.31,20.7,0.6,5.89,22.3,78.37,2.4,0.798,25.98,15.04,0.19
resting,none,60.01,119.56,2.4,65.19,5.39,43.7,0.0,1.01,20.65,92.34,0.86,0.917,22.41,14.14,0.15
moderate_run,medical,82.08,152.68,13.13,49.98,42.14,12.0,0.6,23.84,18.6,88.58,2.06,0.8,30.07,16.63,0.09
light_jog,medical,7.78,16.76,7.49,58.25,21.26,71.6,0.6,23.96,20.37,82.45,0.51,0.885,42.53,4.74,0.41
light_jog,n95,78.55,147.55,4.54,117.59,23.95,42.7,0.95,0.6,21.05,86.72,1.68,0.858,8.58,4.02,0.04
light_jog,none,8.14,8.14,3.26,24.47,22.37,14.0,0.0,15.56,32.35,53.31,6.52,0.077,14.25,2.56,0.07
moderate_run,cloth,115.55,165.21,2.75,18.45,39.31,85.4,0.3,19.71,26.41,64.53,3.91,0.406,92.29,271.43,0.46
light_jog,cloth,16.64,27.87,1.96,43.06,26.68,37.0,0.3,19.58,24.06,68.69,4.32,0.375,24.6,11.5,0.13
high_intensity_run,none,40.38,55.13,0.77,60.7,46.83,16.4,0.0,2.35,20.8,88.24,0.62,0.965,35.62,31.02,0.01
moderate_run,cloth,13.97,19.04,5.55,68.18,38.85,105.2,0.3,18.17,30.67,63.19,4.16,0.29,88.26,39.97,1.42
light_jog,none,151.74,206.01,3.56,39.54,23.97,33.3,0.0,20.79,23.76,73.99,3.2,0.524,68.04,121.25,0.26
moderate_run,none,50.65,84.66,7.76,32.76,45.06,23.3,0.0,20.36,24.92,69.04,2.83,0.509,67.57,53.22,0.61
resting,medical,234.21,333.21,5.97,35.38,7.24,45.0,0.6,0.1,21.69,95.61,1.48,0.844,24.52,30.55,0.05
high_intensity_run,none,209.91,389.31,4.01,36.18,49.82,17.8,0.0,4.09,21.88,86.24,1.55,0.911,82.16,186.0,0.27
moderate_run,medical,83.61,123.05,2.93,20.54,38.49,28.4,0.6,16.34,32.22,60.48,5.5,0.143,26.28,36.53,0.01
high_intensity_run,none,18.69,24.73,1.77,17.95,61.85,79.7,0.0,18.26,29.85,63.85,4.77,0.265,80.49,92.18,0.84
resting,medical,66.01,118.78,1.68,13.32,7.4,108.9,0.6,23.48,19.42,90.26,1.9,0.786,15.12,21.29,0.0
moderate_run,cloth,94.46,169.05,1.43,58.07,37.06,33.8,0.3,17.45,29.14,55.74,4.99,0.21,55.78,82.93,0.16
moderate_run,n95,56.26,85.42,1.55,42.45,39.15,50.8,0.95,10.97,30.97,57.0,4.97,0.303,9.08,5.59,0.08
high_intensity_run,n95,42.84,62.42,3.08,157.16,53.97,81.8,0.95,21.5,23.61,75.08,3.04,0.587,21.91,9.45,0.05
moderate_run,cloth,58.54,87.29,5.52,16.46,38.28,33.2,0.3,19.58,27.1,65.73,3.94,0.394,48.94,52.05,0.54
moderate_run,medical,75.96,103.0,6.11,155.16,34.53,22.7,0.6,22.81,21.82,83.15,2.09,0.732,37.41,23.78,0.36
light_jog,none,23.13,30.96,1.27,42.34,23.64,56.4,0.0,22.22,22.18,78.9,2.48,0.67,44.39,30.83,0.2
light_jog,medical,34.49,43.98,5.93,15.62,27.78,15.9,0.6,9.56,28.09,57.16,4.58,0.427,10.44,6.11,0.07
moderate_run,none,60.72,101.09,3.13,10.42,38.78,21.0,0.0,12.34,30.1,52.45,5.56,0.192,44.75,49.48,0.33
moderate_run,cloth,108.37,192.91,6.72,38.07,39.67,13.8,0.3,4.4,20.28,83.02,1.11,0.925,43.28,41.41,0.08
resting,none,70.39,117.49,5.64,85.87,7.08,78.5,0.0,5.78,22.63,83.39,2.08,0.82,52.4,39.09,0.47
high_intensity_run,n95,34.87,60.67,0.94,43.94,64.76,40.8,0.95,18.74,27.88,58.38,4.6,0.303,7.94,4.6,0.02
high_intensity_run,cloth,57.07,90.04,4.73,41.96,55.04,57.6,0.3,1.9,20.68,85.94,1.32,0.922,82.91,126.67,0.98
light_jog,medical,37.95,57.47,10.84,96.66,27.19,22.0,0.6,23.27,21.13,80.6,1.7,0.783,28.51,9.06,0.11
moderate_run,cloth,60.13,107.76,1.79,56.16,38.09,49.6,0.3,3.75,22.63,89.13,1.47,0.921,65.55,79.53,0.29
light_jog,none,65.43,91.66,1.43,12.93,24.48,50.6,0.0,14.63,33.39,50.06,5.3,0.136,47.86,81.09,0.17
moderate_run,none,256.16,407.8,0.96,106.04,40.04,104.9,0.0,23.07,21.08,87.13,1.42,0.783,100.0,1076.05,0.36
light_jog,n95,22.67,41.57,2.3,20.88,23.45,54.8,0.95,19.47,27.06,67.34,4.25,0.371,5.28,1.46,0.0
moderate_run,n95,84.17,118.95,0.98,17.62,39.35,64.3,0.95,13.85,33.45,53.97,5.5,0.139,5.2,10.64,0.0
moderate_run,none,79.71,121.61,2.23,45.34,42.84,42.7,0.0,0.97,19.45,91.78,1.17,0.9,74.81,145.92,0.32
high_intensity_run,medical,23.74,37.98,4.76,61.97,51.48,10.0,0.6,0.22,19.74,81.27,1.3,0.859,14.86,4.89,0.0
light_jog,cloth,61.22,117.72,7.37,35.92,25.0,47.0,0.3,2.48,21.61,86.87,0.95,0.95,66.19,50.38,0.57
high_intensity_run,none,38.4,55.29,0.75,12.52,58.12,35.2,0.0,18.22,29.53,63.58,5.03,0.248,50.49,78.54,0.27
light_jog,cloth,38.49,61.88,1.95,22.74,23.35,34.1,0.3,13.66,33.27,52.86,6.13,0.112,20.67,21.48,0.13
resting,none,112.87,174.54,3.31,89.22,7.61,29.2,0.0,23.01,22.13,77.56,1.01,0.8,27.24,25.1,0.0
moderate_run,none,210.42,318.14,3.77,52.28,40.23,34.1,0.0,2.63,19.77,90.54,1.34,0.931,92.6,289.01,0.5
moderate_run,medical,140.74,222.21,7.26,102.96,39.47,25.7,0.6,1.55,18.43,88.07,0.71,0.943,54.75,57.21,0.06
high_intensity_run,none,66.55,99.36,6.68,65.51,46.16,60.8,0.0,22.42,22.62,81.15,1.2,0.748,100.0,186.77,1.85
high_intensity_run,n95,77.76,132.19,7.65,37.48,53.36,19.7,0.95,2.24,21.49,87.08,1.45,0.922,3.23,4.1,0.0
light_jog,medical,227.82,343.89,4.97,34.58,25.74,97.1,0.6,1.65,21.52,75.2,0.3,0.966,87.46,227.91,0.5
high_intensity_run,n95,21.72,37.46,2.38,38.78,62.68,57.8,0.95,17.04,31.48,59.6,5.03,0.19,8.38,3.94,0.03
light_jog,medical,134.65,222.63,2.87,58.55,26.14,70.1,0.6,1.51,20.99,90.2,1.2,0.918,63.65,98.72,0.24
moderate_run,n95,29.85,48.28,5.88,52.11,43.6,20.7,0.95,23.11,24.3,81.39,1.64,0.775,2.07,1.35,0.21
light_jog,cloth,15.58,35.52,1.51,37.31,22.58,27.9,0.3,14.3,30.12,46.12,5.62,0.124,12.37,6.87,0.0
high_intensity_run,cloth,88.82,156.22,2.19,45.73,54.44,41.7,0.3,6.11,23.43,76.39,1.72,0.82,82.2,141.24,0.34
light_jog,cloth,17.26,23.68,4.46,36.22,27.44,39.3,0.3,19.05,26.36,69.54,3.66,0.37,40.19,13.04,0.33
resting,n95,31.02,44.33,4.62,20.38,6.5,57.9,0.95,14.83,33.72,50.79,5.3,0.136,6.02,0.58,0.0
moderate_run,none,107.32,213.8,3.17,20.76,43.09,39.4,0.0,19.36,26.34,67.07,3.84,0.383,82.26,182.28,0.43
high_intensity_run,medical,34.91,51.29,6.1,77.2,58.23,100.1,0.6,6.11,24.36,77.21,1.99,0.807,89.8,81.39,1.38
high_intensity_run,n95,181.59,359.5,3.31,27.81,56.21,21.0,0.95,5.89,22.31,80.72,1.36,0.85,12.34,10.74,0.02
moderate_run,cloth,16.6,24.0,3.72,16.98,38.95,18.2,0.3,1.41,20.58,82.52,0.86,0.931,19.4,8.23,0.17
high_intensity_run,n95,122.43,174.62,5.42,43.19,50.66,27.0,0.95,2.85,20.02,86.75,0.68,0.966,7.0,8.39,0.01
high_intensity_run,cloth,26.8,49.16,2.29,59.19,62.81,34.2,0.3,0.05,20.75,90.08,1.48,0.841,60.98,40.27,0.3
moderate_run,none,52.44,87.09,6.33,43.59,42.02,73.7,0.0,23.08,22.07,79.32,1.91,0.76,92.25,162.32,1.84
light_jog,medical,70.44,98.44,3.37,24.64,25.68,48.8,0.6,4.64,22.48,82.76,2.38,0.854,27.77,35.32,0.2
high_intensity_run,cloth,35.61,70.22,2.56,68.77,53.18,10.0,0.3,17.97,28.91,65.08,5.16,0.228,29.92,13.26,0.03
moderate_run,none,48.99,89.39,3.97,53.89,40.12,10.0,0.0,22.06,23.99,82.22,1.57,0.704,28.34,19.65,0.12
moderate_run,none,16.91,31.72,5.01,68.25,40.53,36.2,0.0,15.12,32.99,54.58,4.59,0.171,70.07,24.78,0.75
resting,none,134.62,237.74,0.8,45.96,7.22,29.9,0.0,7.35,24.48,74.6,2.17,0.717,21.56,29.11,0.15
moderate_run,n95,29.97,34.75,1.66,68.59,42.35,36.8,0.95,0.27,22.87,87.67,0.95,0.879,5.1,2.34,0.15
light_jog,n95,24.45,37.24,6.97,21.38,23.44,34.2,0.95,20.16,26.64,69.83,2.43,0.513,3.1,0.98,0.15
high_intensity_run,cloth,54.63,81.36,5.31,7.52,48.55,91.9,0.3,6.98,23.91,79.14,2.47,0.727,86.81,170.59,1.54
light_jog,none,29.4,55.7,2.23,38.15,25.17,67.4,0.0,18.64,28.83,61.85,4.39,0.307,57.96,49.86,0.43
light_jog,cloth,103.07,141.99,4.21,22.78,21.51,28.0,0.3,5.34,23.4,77.56,1.56,0.867,36.86,43.41,0.19
high_intensity_run,n95,34.0,63.65,4.79,65.68,53.58,39.0,0.95,19.4,27.64,61.66,4.06,0.375,9.5,3.55,0.0
light_jog,medical,64.85,98.84,12.34,92.0,23.98,32.5,0.6,3.76,20.87,83.65,0.9,0.949,41.09,20.2,0.34
light_jog,none,64.82,107.32,2.92,59.59,25.98,10.0,0.0,23.27,18.0,81.07,1.16,0.81,15.65,16.84,0.05
moderate_run,none,113.38,196.01,10.23,31.11,46.34,28.8,0.0,2.59,18.91,84.94,2.06,0.896,89.9,151.46,1.33
high_intensity_run,n95,42.68,54.17,5.67,47.67,46.44,29.1,0.95,22.83,22.77,77.44,1.79,0.749,4.55,2.88,0.1
light_jog,n95,15.25,22.61,1.5,48.81,29.55,25.1,0.95,11.9,29.93,56.16,5.7,0.209,0.0,0.56,0.0
